Firm_ID;BenefitProgramPeriod;TotalSpent;TotalPurchases;AvgSpentOnTransaction
4923266;Never in program;2672891,00;4;668222,75
1616927;Never in program;782706,00;5;156541,20
2886289;Never in program;152232,00;3;50744,00
3262419;Never in program;1841666,00;10;184166,60
5700960;Never in program;408205,00;4;102051,25
3809646;Never in program;323412,00;1;323412,00
2320451;Never in program;3887955,00;26;149536,7307
5617967;Never in program;4739545,00;46;103033,5869
5676533;Never in program;467510,00;2;233755,00
15302133;Before;6008589,00;21;286123,2857
994216;Never in program;1487109,00;13;114393,00
5335647;Never in program;3394029,00;13;261079,1538
3353437;Never in program;357305,00;3;119101,6666
2625150;Never in program;198860,00;4;49715,00
1848520;Never in program;65455,00;1;65455,00
2198677;Never in program;1566273,00;14;111876,6428
670880;Never in program;3022046,00;12;251837,1666
179272;Never in program;3952777,00;45;87839,4888
4827416;Never in program;3022697,00;13;232515,1538
4300102;Never in program;9405597,00;141;66706,3617
2908198;Never in program;290304,00;3;96768,00
5632488;Never in program;12459728,00;114;109295,8596
2453305;Never in program;14362171,00;49;293105,5306
3577435;Never in program;25454,00;2;12727,00
4792806;Never in program;505784,00;14;36127,4285
5510810;Never in program;2859517,00;16;178719,8125
1829983;Never in program;94636,00;2;47318,00
5228400;Never in program;275285,00;1;275285,00
2703116;Never in program;2053715,00;12;171142,9166
147879;Never in program;3759144,00;25;150365,76
4060624;Never in program;234297,00;2;117148,50
5887181;Never in program;32893,00;1;32893,00
5577620;Never in program;306703,00;4;76675,75
1103980;Never in program;7534557,00;7;1076365,2857
4177671;Never in program;4959882,00;22;225449,1818
213718;Never in program;12177140,00;14;869795,7142
2520977;Never in program;829763,00;14;59268,7857
4231402;Never in program;414246,00;9;46027,3333
2975927;Never in program;3677272,00;67;54884,6567
2714983;Never in program;1719833,00;8;214979,125
222889;Never in program;4579925,00;128;35780,664
4689106;Never in program;1465087,00;10;146508,70
452296;Never in program;4153662,00;18;230759,00
3947849;Never in program;192413,00;6;32068,8333
3913196;Never in program;1360507,00;12;113375,5833
3867018;Never in program;3333291,00;27;123455,2222
3253147;Never in program;3491424,00;23;151801,0434
1757103;Never in program;38472390,00;235;163712,2978
1262305;Never in program;7917663,00;28;282773,6785
3384146;Never in program;527936,00;9;58659,5555
1968097;Never in program;636050,00;5;127210,00
2172289;Never in program;3250236,00;27;120379,1111
2736584;Never in program;3479745,00;20;173987,25
5387993;Never in program;9112686,00;51;178680,1176
3052556;Never in program;2420747,00;33;73355,9696
1880649;Never in program;18686839,00;63;296616,492
4063994;Never in program;65620,00;2;32810,00
1746504;Never in program;10260972,00;9;1140108,00
1071217;Never in program;1307446,00;28;46694,50
4275540;Never in program;298727,00;6;49787,8333
1754970;Before;2596771,00;11;236070,0909
1437359;Never in program;83281132,00;155;537297,6258
2889328;Never in program;281121,00;5;56224,20
1295856;Never in program;1086110,00;7;155158,5714
3128653;Never in program;435454,00;8;54431,75
6064286;Never in program;5533506,00;36;153708,50
1750272;Never in program;1148172,00;6;191362,00
4129765;Never in program;3560566,00;32;111267,6875
2350246;Never in program;3005908,00;15;200393,8666
1830439;Never in program;1583775,00;12;131981,25
1300246;Never in program;1946235,00;21;92677,8571
1605249;Never in program;173279,00;5;34655,80
3779756;Never in program;37107,00;1;37107,00
5396222;Never in program;466115,00;3;155371,6666
1801800;Never in program;9693089,00;69;140479,5507
2927292;Never in program;909750,00;6;151625,00
5758119;Never in program;772072,00;13;59390,1538
448931;Never in program;8361203,00;12;696766,9166
5724936;Never in program;1349416,00;13;103801,2307
3942345;Never in program;2101662,00;21;100079,1428
1650794;Never in program;255866,00;2;127933,00
619275;Never in program;7521197,00;40;188029,925
1891070;Never in program;2319499,00;18;128861,0555
3336967;Never in program;733851,00;10;73385,10
834025;Never in program;9377279,00;89;105362,6853
4137538;Never in program;1639901,00;33;49693,9696
351115;Never in program;4131768,00;79;52300,8607
2783823;Never in program;3171027,00;16;198189,1875
4166799;Never in program;468139,00;5;93627,80
4865736;Never in program;3078517,00;31;99307,00
2188540;Never in program;4234850,00;26;162878,8461
2174813;Never in program;267578,00;6;44596,3333
3342062;Never in program;1965388,00;9;218376,4444
2850023;Never in program;2225865,00;33;67450,4545
4494141;Never in program;1871660,00;9;207962,2222
4126663;After;620623,00;7;88660,4285
3302131;Never in program;2230012,00;17;131177,1764
4941146;Never in program;2134386,00;3;711462,00
1824775;Never in program;23713005,00;135;175651,8888
3224209;Never in program;122384,00;2;61192,00
5491861;Never in program;13884,00;1;13884,00
685164;Never in program;6704578,00;7;957796,8571
3424818;Never in program;2091643,00;25;83665,72
1831600;Never in program;4676333,00;52;89929,4807
186992;Never in program;528677,00;2;264338,50
6696324;Never in program;628928,00;13;48379,0769
1713143;Never in program;5006584,00;56;89403,2857
4650414;Never in program;10060839,00;45;223574,20
2523649;Never in program;1121650,00;3;373883,3333
862856;Never in program;10574958,00;72;146874,4166
1797866;Never in program;72397,00;3;24132,3333
3850702;Never in program;8536928,00;18;474273,7777
4231041;Never in program;88264,00;2;44132,00
6204125;Never in program;189610,00;14;13543,5714
3273445;Never in program;1244671,00;4;311167,75
3844351;Never in program;5467770,00;2;2733885,00
3774418;Never in program;10041679,00;66;152146,6515
5092412;Never in program;1490289,00;24;62095,375
3151279;Never in program;2042768,00;12;170230,6666
348437;Never in program;65639,00;2;32819,50
4411142;Never in program;238367,00;3;79455,6666
3597567;Never in program;22614406,00;30;753813,5333
5703092;Never in program;128253,00;3;42751,00
3148767;Never in program;90207,00;2;45103,50
2604844;Never in program;2632887,00;18;146271,50
346008;Never in program;214807,00;5;42961,40
3847402;Never in program;9313087,00;35;266088,20
2839809;Never in program;2343307,00;24;97637,7916
3908901;Never in program;2765072,00;37;74731,6756
3040465;Never in program;234349,00;4;58587,25
4195657;Never in program;2658675,00;13;204513,4615
2177959;Never in program;4129998,00;18;229444,3333
2747088;Never in program;1062648,00;9;118072,00
2690189;Never in program;1017933,00;5;203586,60
1015077;Never in program;4565195,00;69;66162,2463
3559597;Never in program;1021078,00;18;56726,5555
3420440;Never in program;378623,00;1;378623,00
2246360;Never in program;886690,00;5;177338,00
9634409;After;562215,00;5;112443,00
3859810;Never in program;9971228,00;52;191754,3846
1178706;Never in program;2484652,00;18;138036,2222
2260923;Never in program;8668768,00;11;788069,8181
2670524;Never in program;1834463,00;2;917231,50
455228;Never in program;29256,00;1;29256,00
1081990;Never in program;131652,00;5;26330,40
231903;Never in program;926094,00;6;154349,00
3773998;Never in program;5379769,00;26;206914,1923
2184291;Never in program;-104471,00;4;-26117,75
1925231;Never in program;879583,00;8;109947,875
2826611;Never in program;456612,00;2;228306,00
3021519;Never in program;480327,00;7;68618,1428
3695008;Never in program;346885,00;8;43360,625
1125201;Never in program;12033809,00;65;185135,523
329985;Never in program;6247734,00;55;113595,1636
229281;Never in program;4476040,00;114;39263,5087
2022214;Never in program;4847742,00;52;93225,8076
1773789;Never in program;10764859,00;76;141642,8815
1699272;Never in program;3825594,00;12;318799,50
2413775;Never in program;-54628,00;1;-54628,00
1335101;Never in program;6050019,00;75;80666,92
5662454;Never in program;1699112,00;33;51488,2424
1954321;Never in program;2285992,00;31;73741,6774
4114930;Never in program;42809,00;1;42809,00
2511463;Never in program;2288921,00;14;163494,3571
1716436;Never in program;31439216,00;137;229483,3284
2529326;Never in program;4927022,00;62;79468,0967
1599635;Never in program;2122975,00;38;55867,7631
2023393;Never in program;249675,00;4;62418,75
285917;Never in program;327488,00;2;163744,00
2291725;Never in program;8887501,00;68;130698,5441
481936;Never in program;293636,00;4;73409,00
5066459;Never in program;892481,00;10;89248,10
3756932;Never in program;102907,00;2;51453,50
274258;Never in program;11483457,00;86;133528,5697
465365;Never in program;845873,00;14;60419,50
5549528;Never in program;1826003,00;8;228250,375
3572810;Never in program;3957907,00;117;33828,2649
2662982;Never in program;2637712,00;43;61342,1395
1156335;Never in program;2149788,00;33;65145,0909
2945764;Never in program;2926409,00;39;75036,1282
331851;Never in program;1520338,00;6;253389,6666
4555538;Never in program;2192397,00;4;548099,25
3484489;Never in program;2830612,00;27;104837,4814
5607275;Never in program;7253870,00;84;86355,5952
1694094;Never in program;3099644,00;143;21675,8321
2358383;Never in program;5236700,00;42;124683,3333
3154571;Never in program;3882385,00;27;143792,037
5247687;Never in program;4023110,00;20;201155,50
305297;Never in program;5856341,00;61;96005,5901
727375;Never in program;534140,00;6;89023,3333
220714;Never in program;4774215,00;6;795702,50
785984;Never in program;202306,00;3;67435,3333
1792558;Never in program;6345215,00;68;93311,9852
3009972;Never in program;3637686,00;3;1212562,00
2790370;Never in program;713580,00;17;41975,2941
1676557;Never in program;6555628,00;22;297983,0909
5746003;Never in program;657053,00;13;50542,5384
2205774;Never in program;2255578,00;12;187964,8333
762339;Never in program;4466192,00;55;81203,4909
1513189;Never in program;1306990,00;24;54457,9166
329268;Never in program;1445358,00;17;85021,0588
461295;Never in program;17083808,00;130;131413,9076
4839688;Never in program;1986635,00;18;110368,6111
340643;Never in program;1467817,00;13;112909,00
1644967;Never in program;1693237,00;18;94068,7222
1727562;Never in program;2354822,00;29;81200,7586
2266919;Never in program;26832420,00;189;141970,4761
163672;Never in program;358130,00;4;89532,50
12951263;After;771379,00;12;64281,5833
2415019;Never in program;1070466,00;11;97315,0909
5950064;Never in program;4701016,00;24;195875,6666
3966261;Never in program;24345381,00;61;399104,6065
2478833;Never in program;568422,00;8;71052,75
1275221;Never in program;336974,00;3;112324,6666
5382522;Never in program;539338,00;2;269669,00
4708662;Never in program;14843946,00;117;126871,3333
445073;Never in program;816614,00;20;40830,70
5536144;Never in program;100621,00;2;50310,50
5321004;Never in program;22696704,00;40;567417,60
1589309;Never in program;2846283,00;24;118595,125
1603664;Never in program;1029515,00;20;51475,75
1177894;Never in program;102772751,00;564;182221,1897
2549718;Never in program;882486,00;18;49027,00
2749244;Never in program;14054161,00;72;195196,6805
2128031;Never in program;349256,00;3;116418,6666
4279403;Never in program;178180,00;2;89090,00
2201970;Never in program;1641026,00;25;65641,04
1194170;Never in program;1844328,00;36;51231,3333
57263;Never in program;10136940,00;24;422372,50
843489;Never in program;2663358,00;24;110973,25
1681605;Never in program;60744,00;1;60744,00
3486906;Never in program;453041,00;7;64720,1428
73668;Never in program;1193886,00;14;85277,5714
149719;Never in program;4701805,00;52;90419,3269
3484477;Never in program;3706360,00;92;40286,5217
389643;Never in program;5444708,00;42;129635,9047
4624492;Never in program;575854,00;9;63983,7777
5157558;Never in program;1510036,00;24;62918,1666
1461755;Never in program;3542722,00;16;221420,125
1857984;Never in program;1881098,00;9;209010,8888
3521148;Never in program;371619,00;4;92904,75
2024910;Never in program;2242348,00;13;172488,3076
2909701;Never in program;6619865,00;32;206870,7812
1692026;Never in program;1982111,00;27;73411,5185
5156468;Never in program;1362144,00;9;151349,3333
287617;Never in program;7697171,00;45;171048,2444
2170665;Never in program;1010257,00;5;202051,40
1605394;Never in program;261335,00;2;130667,50
2677236;Never in program;4208365,00;31;135753,7096
651487;Never in program;24343377,00;72;338102,4583
866752;Never in program;760495,00;3;253498,3333
3409868;Never in program;21404,00;1;21404,00
480336;Never in program;1390325,00;11;126393,1818
3813041;Never in program;1051834,00;15;70122,2666
5263962;Never in program;7361023,00;71;103676,3802
1713563;Never in program;702931,00;9;78103,4444
2143660;Never in program;7149059,00;7;1021294,1428
1463384;Never in program;1560148,00;38;41056,5263
1310484;Never in program;3836860,00;5;767372,00
1434009;Never in program;794607,00;6;132434,50
1167319;Never in program;5647049,00;9;627449,8888
1001090;Never in program;981395,00;8;122674,375
2724177;Never in program;924524,00;13;71117,2307
56102;Never in program;1098017,00;2;549008,50
171819;Never in program;3731181,00;54;69095,9444
2315572;Never in program;9122855,00;51;178879,5098
2938969;Never in program;-104502,00;6;-17417,00
1521395;Never in program;800869,00;9;88985,4444
2136841;Never in program;4787010,00;24;199458,75
2488632;Never in program;2797137,00;16;174821,0625
528832;Never in program;15522032,00;40;388050,80
4199057;Never in program;902494,00;26;34711,3076
3003882;Never in program;255078,00;2;127539,00
15658258;Before;221322,00;1;221322,00
3225180;Never in program;4002951,00;40;100073,775
1673233;Never in program;1627752,00;10;162775,20
2863414;Never in program;545314,00;7;77902,00
7222464;Never in program;162975,00;1;162975,00
1692014;Never in program;3217659,00;76;42337,6184
5693220;Never in program;2488401,00;25;99536,04
1259095;Never in program;20495,00;1;20495,00
1825765;Never in program;1758025,00;5;351605,00
2292969;Never in program;8785779,00;54;162699,6111
2611138;Never in program;13324750,00;45;296105,5555
4763640;Never in program;357370,00;9;39707,7777
3720579;Never in program;2683967,00;56;47927,9821
815109;Never in program;19427387,00;149;130385,1476
5095572;Never in program;354366,00;12;29530,50
7277335;Never in program;768543,00;8;96067,875
125251;Never in program;3972209,00;25;158888,36
5385846;Never in program;37934771,00;62;611851,1451
3878016;Never in program;6744404,00;58;116282,8275
3459523;Never in program;737481,00;29;25430,3793
4461440;Never in program;152148,00;2;76074,00
5548929;Never in program;7717341,00;52;148410,4038
2821599;Never in program;4044990,00;59;68559,1525
5602256;Never in program;3158084,00;9;350898,2222
1651195;Never in program;473678,00;4;118419,50
4248371;Never in program;1937922,00;11;176174,7272
2039195;Never in program;8311306,00;26;319665,6153
4860625;Never in program;137685,00;2;68842,50
3411688;Never in program;8565474,00;85;100770,2823
68383;Never in program;215537,00;6;35922,8333
4730020;Never in program;10773205,00;96;112220,8854
1801102;Never in program;13036419,00;16;814776,1875
3030519;Never in program;984391,00;10;98439,10
2535340;Never in program;3859429,00;14;275673,50
2258708;Never in program;7251788,00;49;147995,6734
2829377;Never in program;5711642,00;38;150306,3684
3034945;Never in program;1667153,00;12;138929,4166
1456185;Never in program;3437003,00;54;63648,2037
3727486;Never in program;13837755,00;63;219646,9047
2964319;Never in program;57377,00;2;28688,50
23902;Never in program;928958,00;9;103217,5555
5037115;Never in program;262197,00;3;87399,00
2057946;Never in program;7337004,00;36;203805,6666
3334462;Never in program;3758939,00;33;113907,2424
1704189;Never in program;5788031,00;18;321557,2777
7364095;Before;1123351,00;16;70209,4375
2082597;Never in program;158843,00;4;39710,75
1269955;Never in program;3690911,00;13;283916,2307
4243442;Never in program;1975731,00;13;151979,3076
2617803;Never in program;7923710,00;66;120056,2121
5303290;Never in program;125919,00;1;125919,00
5244133;Never in program;810953,00;18;45052,9444
1556475;Never in program;29485174,00;50;589703,48
2051838;Never in program;51972,00;1;51972,00
1969310;Never in program;7369601,00;77;95709,1038
137190;Never in program;1658344,00;10;165834,40
3565381;Never in program;56611,00;2;28305,50
3031319;Never in program;1263323,00;13;97178,6923
5515219;Never in program;1180588,00;3;393529,3333
3148748;Never in program;2140668,00;11;194606,1818
1633345;Never in program;10720424,00;61;175744,6557
1765692;Never in program;462562,00;5;92512,40
285841;Never in program;3840672,00;13;295436,3076
2985919;Never in program;4674790,00;65;71919,8461
1588573;Never in program;1773270,00;17;104310,00
2054267;Never in program;1114794,00;1;1114794,00
1234243;Never in program;5079441,00;27;188127,4444
2846179;Never in program;1093174,00;4;273293,50
215950;Never in program;286166,00;5;57233,20
2531560;Never in program;278018,00;6;46336,3333
3287517;Never in program;1957991,00;10;195799,10
3339498;Never in program;725551,00;7;103650,1428
358262;Never in program;2107178,00;59;35714,8813
1360926;Never in program;9553403,00;72;132686,1527
2469045;Never in program;31106856,00;109;285384,00
86038;Never in program;7394708,00;9;821634,2222
1745756;Never in program;5474951,00;19;288155,3157
2031463;Never in program;300746,00;5;60149,20
3130216;Never in program;483884,00;5;96776,80
4995465;Never in program;1959042,00;12;163253,50
9119723;Before;270014,00;6;45002,3333
4001629;Never in program;3790775,00;35;108307,8571
1661687;Never in program;10578,00;1;10578,00
1181354;Never in program;3543233,00;41;86420,317
1930570;Never in program;2008469,00;30;66948,9666
2586213;Never in program;10272585,00;57;180220,7894
844631;Never in program;8234763,00;64;128668,1718
3180307;Never in program;1011897,00;7;144556,7142
3323887;Never in program;160495,00;3;53498,3333
3413388;Never in program;18497986,00;82;225585,1951
2380770;Never in program;7898033,00;196;40296,0867
1078245;Never in program;642103,00;7;91729,00
2420808;Never in program;61735,00;2;30867,50
1050761;Never in program;7389768,00;115;64258,8521
2249057;Never in program;3738562,00;27;138465,2592
2370728;Never in program;436795,00;3;145598,3333
8777870;Before;108762,00;2;54381,00
232461;Never in program;11279232,00;83;135894,3614
1504523;Never in program;5024263,00;23;218446,2173
3155922;Never in program;4818502,00;33;146015,2121
1584385;Never in program;801705,00;10;80170,50
850491;Never in program;125304,00;4;31326,00
1919692;Never in program;1420553,00;30;47351,7666
4587838;Never in program;4452325,00;58;76764,2241
2172892;Never in program;8186447,00;101;81053,9306
955134;Never in program;1553133,00;37;41976,5675
3231033;Never in program;890910,00;4;222727,50
1334289;Never in program;1809500,00;17;106441,1764
1452524;Never in program;443496,00;6;73916,00
5086240;Never in program;250826,00;1;250826,00
2130834;Never in program;3570065,00;52;68655,0961
2112723;Never in program;5303056,00;49;108225,6326
5390474;Never in program;3338486,00;46;72575,7826
5239317;Never in program;1015535,00;6;169255,8333
1673074;Never in program;19735772,00;25;789430,88
535036;Never in program;53434,00;2;26717,00
2534694;Never in program;914522,00;27;33871,1851
3129760;Never in program;699842,00;5;139968,40
3298489;Never in program;7417454,00;22;337157,00
5517418;Never in program;4713582,00;29;162537,3103
1537635;Never in program;3590831,00;27;132993,7407
555067;Never in program;2103997,00;29;72551,6206
1770579;Never in program;54494,00;2;27247,00
3228438;Never in program;2321050,00;34;68266,1764
2193859;Never in program;3891116,00;16;243194,75
2259437;Never in program;4804180,00;36;133449,4444
4435247;Never in program;926367,00;3;308789,00
1758689;Never in program;532826,00;4;133206,50
1390714;Never in program;5040490,00;66;76371,0606
1545686;Never in program;20684170,00;167;123857,3053
4206586;Never in program;1521665,00;22;69166,5909
2239560;Never in program;9166646,00;46;199274,913
3145288;Never in program;362249,00;12;30187,4166
3740105;Never in program;1711208,00;15;114080,5333
6964808;Never in program;1401071,00;11;127370,0909
4917067;Never in program;442743,00;1;442743,00
2798173;Never in program;4518467,00;85;53158,4352
3007313;Never in program;1521954,00;22;69179,7272
2962334;Never in program;10540743,00;31;340023,9677
2342267;Never in program;634238,00;5;126847,60
317507;Never in program;10180950,00;112;90901,3392
1854855;Never in program;165372,00;4;41343,00
4915811;Never in program;4879630,00;25;195185,20
3126756;Never in program;757267,00;8;94658,375
2199102;Never in program;37851,00;1;37851,00
3431079;Never in program;662419,00;11;60219,909
2050392;Never in program;4475296,00;38;117770,9473
4308742;Never in program;4858450,00;31;156724,1935
2335833;Never in program;1120787,00;13;86214,3846
1433755;Never in program;652311,00;8;81538,875
2699489;Never in program;594567,00;8;74320,875
2347753;Never in program;3098214,00;52;59581,0384
1483852;Never in program;11206199,00;54;207522,2037
2555720;Never in program;1529160,00;31;49327,7419
1912334;Never in program;41810,00;1;41810,00
3379666;Never in program;251075,00;5;50215,00
2401316;Never in program;4349701,00;17;255864,7647
3908870;Never in program;1369688,00;9;152187,5555
2189143;Never in program;39961,00;1;39961,00
147587;Never in program;11966282,00;113;105896,3008
1808644;Never in program;1422063,00;6;237010,50
2674375;Never in program;488313,00;2;244156,50
4742123;Never in program;88014,00;3;29338,00
123190;Never in program;22424061,00;107;209570,6635
1748629;Never in program;7158278,00;33;216917,5151
4229816;Never in program;2054858,00;12;171238,1666
666719;Never in program;1738876,00;9;193208,4444
2307662;Never in program;287169,00;6;47861,50
2263341;Never in program;54050,00;1;54050,00
1899792;Never in program;1628113,00;10;162811,30
3644010;Never in program;2316338,00;27;85790,2962
3693930;Never in program;3759805,00;43;87437,3255
1946151;Never in program;23801,00;1;23801,00
2008127;Never in program;29110751,00;118;246701,2796
2192252;Never in program;37024,00;1;37024,00
5015953;Never in program;1117003,00;19;58789,6315
1864822;Never in program;375338,00;12;31278,1666
241354;Never in program;6406009,00;79;81088,7215
3295362;Never in program;2762049,00;21;131526,1428
3211908;Never in program;1095450,00;10;109545,00
2761507;Never in program;3509709,00;74;47428,50
43075;Never in program;415123,00;5;83024,60
2624767;Never in program;87934,00;2;43967,00
4604358;Never in program;1310033,00;17;77060,7647
4673901;Never in program;335652,00;4;83913,00
1841758;Never in program;2136527,00;7;305218,1428
3100537;Never in program;4543241,00;22;206510,9545
4413301;Never in program;264421,00;4;66105,25
1837492;Never in program;6095465,00;15;406364,3333
3232887;Never in program;409213,00;7;58459,00
310263;Never in program;834817,00;14;59629,7857
70992;Never in program;894846,00;11;81349,6363
2685660;Never in program;533379,00;3;177793,00
1930763;Never in program;247107,00;1;247107,00
651900;Never in program;4522216,00;24;188425,6666
223799;Never in program;788452,00;14;56318,00
3194312;Never in program;4999021,00;9;555446,7777
2248382;Never in program;936965,00;12;78080,4166
557385;Never in program;31920756,00;221;144437,8099
4564930;Never in program;26651489,00;172;154950,5174
6026490;Never in program;7285835,00;50;145716,70
3136144;Never in program;5033475,00;106;47485,6132
2699405;Never in program;41653,00;2;20826,50
1710747;Never in program;7702807,00;10;770280,70
4304235;Never in program;2204746,00;60;36745,7666
2289149;Never in program;2785659,00;72;38689,7083
2507418;Never in program;3092990,00;25;123719,60
2623991;Never in program;831323,00;9;92369,2222
2727944;Never in program;20486344,00;163;125683,092
3803433;Never in program;2254117,00;29;77728,1724
1755288;Never in program;1378247,00;12;114853,9166
1346543;Never in program;1498083,00;3;499361,00
5556337;Never in program;125372,00;1;125372,00
2285849;Never in program;2085703,00;17;122688,4117
518460;Never in program;1412833,00;13;108679,4615
5673970;Never in program;421438,00;8;52679,75
1930692;Never in program;19180273,00;83;231087,6265
5607022;Never in program;3217023,00;28;114893,6785
20585;Never in program;597190,00;3;199063,3333
4177993;Never in program;36941,00;2;18470,50
66436;Never in program;5524427,00;21;263067,9523
13634926;After;363102,00;4;90775,50
2480040;Never in program;806347,00;12;67195,5833
1135242;Never in program;169174,00;2;84587,00
343731;Never in program;672404,00;3;224134,6666
1555119;Never in program;109752,00;1;109752,00
4813556;Never in program;377520,00;1;377520,00
357020;Never in program;13210723,00;30;440357,4333
2154477;Never in program;8407721,00;60;140128,6833
2660196;Never in program;3915870,00;9;435096,6666
1861433;Never in program;3181290,00;16;198830,625
612649;Never in program;1388856,00;8;173607,00
3021568;Never in program;1445563,00;30;48185,4333
2358112;Never in program;334396,00;5;66879,20
5947136;Never in program;594675,00;13;45744,2307
2280150;Never in program;5541113,00;52;106559,8653
2586778;Never in program;929383,00;14;66384,50
316869;Never in program;9278383,00;33;281163,1212
2201039;Never in program;280494,00;3;93498,00
5662624;Never in program;212891,00;2;106445,50
3893937;Never in program;83086,00;3;27695,3333
1250529;Never in program;6826381,00;25;273055,24
4414569;Never in program;19646294,00;42;467768,9047
5385080;Never in program;1409623,00;11;128147,5454
2069524;Never in program;1950262,00;8;243782,75
684017;Never in program;2670997,00;24;111291,5416
2755049;Never in program;6347185,00;49;129534,3877
5043461;Never in program;1304215,00;13;100324,2307
2228778;Never in program;816089,00;5;163217,80
5890212;Never in program;786468,00;8;98308,50
4822206;Never in program;312393,00;2;156196,50
4356899;Never in program;523308,00;5;104661,60
1958532;Never in program;4706538,00;69;68210,6956
3741953;Never in program;4968310,00;35;141951,7142
1895766;Never in program;2697289,00;24;112387,0416
1742325;Never in program;6818473,00;11;619861,1818
2182690;Never in program;8442301,00;34;248302,9705
1555202;Never in program;1729487,00;18;96082,6111
298663;Never in program;2101380,00;10;210138,00
102043;Never in program;280999,00;5;56199,80
1798235;Never in program;1596341,00;21;76016,238
5364024;Never in program;2067675,00;9;229741,6666
4550456;Never in program;1155319,00;5;231063,80
3282950;Never in program;8123922,00;67;121252,5671
6673393;Never in program;1117877,00;12;93156,4166
2058569;Never in program;275833,00;6;45972,1666
4058227;Never in program;8570127,00;47;182343,1276
4454264;Never in program;119504,00;4;29876,00
2365269;Never in program;4735091,00;11;430462,8181
4730475;Never in program;4218288,00;16;263643,00
435735;Never in program;69835,00;2;34917,50
755759;Never in program;15751226,00;47;335132,468
2235153;Never in program;1651692,00;17;97158,3529
3157395;Never in program;3996703,00;11;363336,6363
2695205;Never in program;265371,00;3;88457,00
2228084;Never in program;2753507,00;14;196679,0714
2124777;Never in program;36902,00;1;36902,00
3054592;Never in program;280012,00;5;56002,40
4582425;Before;36694,00;1;36694,00
4746981;Never in program;1948518,00;69;28239,3913
5988028;Never in program;1195801,00;10;119580,10
752843;Never in program;1637987,00;27;60666,1851
1549846;Never in program;2169839,00;37;58644,2972
2969431;Never in program;112314,00;1;112314,00
3225765;Never in program;1043597,00;5;208719,40
2361057;Never in program;479605,00;5;95921,00
1259280;Never in program;1118916,00;7;159845,1428
297585;Never in program;294513,00;3;98171,00
664999;Never in program;5760656,00;63;91438,9841
2694583;Never in program;2793652,00;29;96332,8275
4593279;Never in program;48801829,00;84;580974,1547
1824641;Never in program;4408547,00;19;232028,7894
4607948;Never in program;385578,00;7;55082,5714
4175303;Never in program;872066,00;12;72672,1666
252984;Never in program;22333840,00;44;507587,2727
2693315;Never in program;2146651,00;26;82563,50
2572678;Never in program;9978431,00;62;160942,4354
2128628;Never in program;3924605,00;13;301892,6923
5039337;Never in program;7010465,00;17;412380,2941
1588333;Never in program;2783223,00;50;55664,46
4278101;Never in program;1883493,00;24;78478,875
730691;Never in program;1534201,00;20;76710,05
3159439;Never in program;2861895,00;12;238491,25
3704338;Before;1527920,00;3;509306,6666
2579029;Never in program;1297135,00;9;144126,1111
5218438;Never in program;3794726,00;19;199722,421
3778331;Never in program;1931840,00;54;35774,8148
1259351;Never in program;3087451,00;49;63009,204
4790521;Never in program;3657389,00;8;457173,625
2484928;Never in program;628596,00;2;314298,00
2794785;Never in program;2541852,00;42;60520,2857
3932832;Never in program;3488408,00;37;94281,2972
2923676;Never in program;652066,00;4;163016,50
5792498;Never in program;1198438,00;5;239687,60
8712;Never in program;5471853,00;57;95997,421
3053970;Never in program;38278384,00;286;133840,5034
2509569;Never in program;5012600,00;79;63450,6329
16556;Never in program;2117798,00;27;78436,9629
780411;Never in program;1082304,00;10;108230,40
1535870;Never in program;60495,00;3;20165,00
2515037;Never in program;53223,00;1;53223,00
1467583;Never in program;1999524,00;37;54041,1891
2022524;Never in program;3665879,00;136;26954,9926
226092;Never in program;1671097,00;10;167109,70
1166103;Never in program;2260724,00;10;226072,40
117530;Never in program;98848509,00;278;355570,1762
2688054;Never in program;215413,00;3;71804,3333
1121047;Never in program;960355,00;16;60022,1875
1687747;Never in program;2788367,00;18;154909,2777
3912706;After;2960135,00;32;92504,2187
2823526;Never in program;8796084,00;22;399822,00
2150371;Never in program;4137623,00;46;89948,326
2541786;Never in program;2780638,00;8;347579,75
3272523;Never in program;3156555,00;3;1052185,00
1881855;Never in program;2673985,00;15;178265,6666
2968270;Never in program;379837,00;7;54262,4285
3842684;Never in program;386280,00;7;55182,8571
3476234;Never in program;884117,00;5;176823,40
4453986;Never in program;704507,00;8;88063,375
5434176;Before;499670,00;2;249835,00
1688991;Never in program;4234260,00;18;235236,6666
1463744;Never in program;14059693,00;74;189995,8513
2241670;Never in program;2740409,00;64;42818,8906
3977907;Never in program;895520,00;18;49751,1111
2236492;Never in program;4697893,00;16;293618,3125
1184067;Never in program;3634190,00;9;403798,8888
1692996;Never in program;6200882,00;46;134801,7826
2251481;Never in program;4451021,00;16;278188,8125
714624;Never in program;-354256,00;6;-59042,6666
848603;Never in program;2570711,00;5;514142,20
1681467;Never in program;1346690,00;25;53867,60
406194;Never in program;131818,00;1;131818,00
2719898;Never in program;1794996,00;8;224374,50
1819368;Never in program;1265538,00;9;140615,3333
4173971;Never in program;1155381,00;3;385127,00
2341694;Never in program;43676,00;1;43676,00
5664426;Never in program;1929488,00;16;120593,00
298834;Never in program;4275672,00;10;427567,20
4310301;Never in program;578148,00;3;192716,00
5449136;Never in program;7408028,00;40;185200,70
