Firm_ID;BenefitProgramPeriod;TotalSpent;TotalPurchases;AvgSpentOnTransaction
3045838;Never in program;2752369,00;16;172023,0625
1872634;Never in program;583135,00;19;30691,3157
3653952;Never in program;234875,00;7;33553,5714
4453728;Never in program;2785203,00;5;557040,60
571559;Never in program;1566096,00;6;261016,00
5705545;Never in program;1627056,00;8;203382,00
3931413;Never in program;2682167,00;69;38871,9855
1231520;Never in program;6311089,00;28;225396,0357
1411693;Never in program;41219,00;2;20609,50
3445453;Never in program;26620883,00;30;887362,7666
2282890;Never in program;1196810,00;30;39893,6666
2801317;Never in program;2035285,00;9;226142,7777
2332509;Never in program;49908,00;2;24954,00
1557000;Never in program;2217323,00;25;88692,92
2500732;Never in program;1346523,00;19;70869,6315
3590055;Never in program;2012975,00;9;223663,8888
3250030;Never in program;1194120,00;17;70242,3529
2067720;Never in program;2600081,00;10;260008,10
1994047;Never in program;929766,00;36;25826,8333
1989420;Never in program;683250,00;8;85406,25
501240;Never in program;90000,00;1;90000,00
2923501;Never in program;1086559,00;22;49389,0454
3597360;Never in program;753676,00;4;188419,00
1791259;Never in program;2680836,00;4;670209,00
1506605;Never in program;1522491,00;12;126874,25
5453234;Never in program;67458,00;2;33729,00
642980;Never in program;6461021,00;10;646102,10
1070726;Never in program;123721,00;5;24744,20
2470481;Never in program;15742639,00;54;291530,3518
88490;Never in program;4787184,00;39;122748,3076
1444551;Never in program;4114640,00;42;97967,619
3046555;Never in program;954913,00;6;159152,1666
2923033;Never in program;573458,00;15;38230,5333
1612869;Never in program;1524213,00;8;190526,625
3743242;Never in program;130180,00;4;32545,00
4223592;Never in program;1811503,00;22;82341,0454
1011302;Never in program;4786718,00;34;140785,8235
2506544;Never in program;2269847,00;28;81065,9642
3501873;Never in program;5763568,00;39;147783,7948
630480;Never in program;2003633,00;36;55656,4722
4431272;After;1754564,00;6;292427,3333
3063612;Never in program;2195358,00;28;78405,6428
78566;Never in program;12224067,00;50;244481,34
5121906;Never in program;5756101,00;21;274100,0476
602278;Never in program;91495,00;2;45747,50
2040164;Never in program;5126556,00;11;466050,5454
3292746;Never in program;2549285,00;28;91045,8928
3840975;Never in program;225784,00;3;75261,3333
2830212;Never in program;266181,00;3;88727,00
2630760;Never in program;1980362,00;22;90016,4545
5517860;Never in program;4730391,00;152;31120,9934
141675;Never in program;1014922,00;8;126865,25
620745;Never in program;13499756,00;77;175321,5064
1439396;Never in program;236140,00;6;39356,6666
2407662;Never in program;3665326,00;41;89398,1951
5894759;Never in program;188758,00;7;26965,4285
2297163;Never in program;746689,00;7;106669,8571
4747689;Never in program;58430,00;1;58430,00
1487996;Never in program;7974732,00;39;204480,3076
1246699;Never in program;352153,00;4;88038,25
2058281;Never in program;2550364,00;16;159397,75
1945679;Never in program;592732,00;22;26942,3636
2942134;Never in program;144462,00;1;144462,00
284837;Never in program;63326,00;1;63326,00
1541904;Never in program;3447597,00;14;246256,9285
479123;Never in program;979364,00;30;32645,4666
1505337;Never in program;1626414,00;25;65056,56
1137289;Never in program;73388,00;1;73388,00
448606;Never in program;14780769,00;101;146344,2475
535881;Never in program;3993654,00;15;266243,60
2124235;Never in program;141228,00;3;47076,00
4193891;Never in program;4128682,00;32;129021,3125
69383;Never in program;2904381,00;24;121015,875
4560016;Never in program;548675,00;6;91445,8333
997640;Never in program;818598,00;11;74418,00
1536673;Never in program;10505914,00;54;194553,9629
2665667;Never in program;904421,00;11;82220,0909
1820088;Never in program;1281163,00;2;640581,50
3929725;Never in program;6706038,00;19;352949,3684
4356617;Never in program;5084839,00;40;127120,975
430489;Never in program;3120120,00;26;120004,6153
3586655;Never in program;713425,00;13;54878,8461
2428891;Never in program;1689930,00;6;281655,00
1724418;Never in program;1393488,00;26;53595,6923
58968;Never in program;840114,00;35;24003,2571
4697905;Never in program;498843,00;4;124710,75
5475913;Never in program;53884,00;1;53884,00
2620225;Never in program;27934,00;1;27934,00
2983103;Never in program;86611,00;1;86611,00
2069166;Never in program;653372,00;19;34388,00
6572986;Never in program;9045842,00;120;75382,0166
2101728;Never in program;6137285,00;60;102288,0833
125377;Never in program;5129569,00;17;301739,3529
1545565;Never in program;4451674,00;24;185486,4166
4825699;Never in program;192632,00;3;64210,6666
3890533;Never in program;746921,00;7;106703,00
1851578;Never in program;3127942,00;41;76291,2682
3573893;Never in program;280287,00;7;40041,00
