Firm_ID;BenefitProgramPeriod;TotalSpent;AvgSpentOnTransaction;TotalPurchases
7039085;After;3205589,00;76323,5476;42
7039085;Before;596240,00;85177,1428;7
7045093;After;443441,00;110860,25;4
7158909;After;230561,00;38426,8333;6
7158909;Before;137272,00;68636,00;2
7364095;After;748730,00;35653,8095;21
7364095;Before;1123351,00;70209,4375;16
7643928;After;670024,00;60911,2727;11
7734938;After;68760,00;13752,00;5
7734938;Before;738985,00;82109,4444;9
7989038;After;3581519,00;325592,6363;11
7989038;Before;774568,00;258189,3333;3
8421560;After;5215766,00;193176,5185;27
8641421;After;2414671,00;150916,9375;16
8641421;Before;338677,00;169338,50;2
8661656;After;79669,00;79669,00;1
8661656;Before;649669,00;324834,50;2
8777870;After;488449,00;81408,1666;6
8777870;Before;108762,00;54381,00;2
8843277;After;2848521,00;178032,5625;16
8843277;Before;934520,00;233630,00;4
9036994;After;166689,00;55563,00;3
9036994;Before;1410330,00;201475,7142;7
9119723;After;515113,00;34340,8666;15
9119723;Before;270014,00;45002,3333;6
9321324;After;1509908,00;36827,0243;41
9502188;After;1612149,00;537383,00;3
9502188;Before;10578,00;10578,00;1
9634409;After;562215,00;112443,00;5
9634409;Before;28016,00;28016,00;1
9759237;After;283216,00;47202,6666;6
9759237;Before;464228,00;77371,3333;6
9924919;After;565979,00;62886,5555;9
9924919;Before;537108,00;134277,00;4
9944518;After;393383,00;196691,50;2
10018187;After;681236,00;75692,8888;9
10018187;Before;1724447,00;246349,5714;7
10229858;After;270919,00;45153,1666;6
10512917;After;2265879,00;66643,50;34
10944193;After;2406798,00;185138,3076;13
10997020;After;813314,00;406657,00;2
11332328;After;2797261,00;279726,10;10
11332328;Before;181916,00;60638,6666;3
11599274;After;1060241,00;62367,1176;17
11599274;Before;737222,00;92152,75;8
12154787;After;312976,00;44710,8571;7
12951263;After;771379,00;64281,5833;12
12951263;Before;11884,00;11884,00;1
13024003;After;3638712,00;101075,3333;36
13024003;Before;1200140,00;109103,6363;11
13529211;After;4443400,00;153220,6896;29
13529211;Before;805061,00;201265,25;4
13634926;After;363102,00;90775,50;4
14180313;After;1889481,00;209942,3333;9
14180313;Before;309407,00;61881,40;5
14189202;After;8426701,00;561780,0666;15
14189202;Before;1989844,00;132656,2666;15
14371924;After;478444,00;95688,80;5
15069347;After;491110,00;49111,00;10
15069347;Before;579817,00;115963,40;5
15302133;After;967164,00;53731,3333;18
15302133;Before;6008589,00;286123,2857;21
15658258;After;81913,00;27304,3333;3
15658258;Before;221322,00;221322,00;1
16132424;After;750123,00;68193,00;11
16132424;Before;295606,00;59121,20;5
16701905;After;956010,00;43455,00;22
16701905;Before;119670,00;59835,00;2
16958946;After;120743,00;30185,75;4
16958946;Before;1956147,00;489036,75;4
17040406;After;134900,00;44966,6666;3
17040406;Before;61818,00;61818,00;1
17489673;After;2231607,00;111580,35;20
18090312;After;1057386,00;528693,00;2
18503766;After;1042962,00;43456,75;24
18535992;After;294086,00;42012,2857;7
18535992;Before;398595,00;39859,50;10
18754425;After;445333,00;63619,00;7
18754425;Before;350742,00;116914,00;3
18871771;After;2227347,00;278418,375;8
18993738;After;404463,00;202231,50;2
18993738;Before;1421256,00;1421256,00;1
19090910;After;5997618,00;149940,45;40
19090910;Before;2296494,00;765498,00;3
19450752;After;201677,00;40335,40;5
19819512;After;32975,00;32975,00;1
19920025;After;1069256,00;1069256,00;1
20330998;After;12314,00;12314,00;1
20330998;Before;552663,00;110532,60;5
