IsInBenefitProgram;AvgPurchaseValue;TransactionCount;TotalAmount;AvgUnitPrice;NumberOfFirms
False;177538,2931;964857;1073838.0000;2847795,6985;9997
True;161094,3236;10880;12394.0000;2281589,9706;136
